epoch 1 of 50: training_loss = 0.3818, training_accuracy = 0.8792, test_loss = 0.1870, test_accuracy = 0.9399, lr_size = 0.0010000000
epoch 21 of 50: training_loss = 0.0834, training_accuracy = 0.9733, test_loss = 0.0869, test_accuracy = 0.9747, lr_size = 0.0010000000
epoch 22 of 50: training_loss = 0.0850, training_accuracy = 0.9739, test_loss = 0.0839, test_accuracy = 0.9768, lr_size = 0.0010000000
epoch 23 of 50: training_loss = 0.0827, training_accuracy = 0.9742, test_loss = 0.1003, test_accuracy = 0.9712, lr_size = 0.0010000000
epoch 24 of 50: training_loss = 0.0460, training_accuracy = 0.9853, test_loss = 0.0596, test_accuracy = 0.9826, lr_size = 0.0001000000
epoch 25 of 50: training_loss = 0.0374, training_accuracy = 0.9882, test_loss = 0.0577, test_accuracy = 0.9832, lr_size = 0.0001000000
epoch 26 of 50: training_loss = 0.0341, training_accuracy = 0.9891, test_loss = 0.0592, test_accuracy = 0.9834, lr_size = 0.0001000000
epoch 27 of 50: training_loss = 0.0334, training_accuracy = 0.9893, test_loss = 0.0572, test_accuracy = 0.9834, lr_size = 0.0001000000
epoch 28 of 50: training_loss = 0.0317, training_accuracy = 0.9898, test_loss = 0.0563, test_accuracy = 0.9836, lr_size = 0.0001000000
epoch 29 of 50: training_loss = 0.0289, training_accuracy = 0.9909, test_loss = 0.0575, test_accuracy = 0.9843, lr_size = 0.0001000000
epoch 30 of 50: training_loss = 0.0294, training_accuracy = 0.9903, test_loss = 0.0561, test_accuracy = 0.9841, lr_size = 0.0001000000
epoch 31 of 50: training_loss = 0.0289, training_accuracy = 0.9908, test_loss = 0.0571, test_accuracy = 0.9844, lr_size = 0.0001000000
epoch 32 of 50: training_loss = 0.0265, training_accuracy = 0.9914, test_loss = 0.0563, test_accuracy = 0.9843, lr_size = 0.0001000000
epoch 33 of 50: training_loss = 0.0281, training_accuracy = 0.9908, test_loss = 0.0563, test_accuracy = 0.9844, lr_size = 0.0001000000
epoch 34 of 50: training_loss = 0.0258, training_accuracy = 0.9917, test_loss = 0.0562, test_accuracy = 0.9852, lr_size = 0.0001000000
epoch 35 of 50: training_loss = 0.0267, training_accuracy = 0.9916, test_loss = 0.0572, test_accuracy = 0.9838, lr_size = 0.0001000000
epoch 36 of 50: training_loss = 0.0266, training_accuracy = 0.9914, test_loss = 0.0541, test_accuracy = 0.9846, lr_size = 0.0001000000
epoch 37 of 50: training_loss = 0.0263, training_accuracy = 0.9912, test_loss = 0.0565, test_accuracy = 0.9837, lr_size = 0.0001000000
epoch 38 of 50: training_loss = 0.0241, training_accuracy = 0.9925, test_loss = 0.0584, test_accuracy = 0.9842, lr_size = 0.0001000000
epoch 39 of 50: training_loss = 0.0247, training_accuracy = 0.9919, test_loss = 0.0554, test_accuracy = 0.9845, lr_size = 0.0001000000
epoch 40 of 50: training_loss = 0.0236, training_accuracy = 0.9929, test_loss = 0.0584, test_accuracy = 0.9840, lr_size = 0.0001000000
epoch 41 of 50: training_loss = 0.0239, training_accuracy = 0.9923, test_loss = 0.0566, test_accuracy = 0.9846, lr_size = 0.0001000000
epoch 42 of 50: training_loss = 0.0231, training_accuracy = 0.9927, test_loss = 0.0596, test_accuracy = 0.9834, lr_size = 0.0001000000
epoch 43 of 50: training_loss = 0.0204, training_accuracy = 0.9929, test_loss = 0.0568, test_accuracy = 0.9841, lr_size = 0.0000100000
epoch 44 of 50: training_loss = 0.0190, training_accuracy = 0.9935, test_loss = 0.0558, test_accuracy = 0.9849, lr_size = 0.0000100000
epoch 45 of 50: training_loss = 0.0200, training_accuracy = 0.9935, test_loss = 0.0559, test_accuracy = 0.9851, lr_size = 0.0000100000
epoch 46 of 50: training_loss = 0.0209, training_accuracy = 0.9933, test_loss = 0.0559, test_accuracy = 0.9850, lr_size = 0.0000100000
epoch 47 of 50: training_loss = 0.0198, training_accuracy = 0.9934, test_loss = 0.0556, test_accuracy = 0.9851, lr_size = 0.0000100000
